            nuclides,             nuclides,        activity (Bq),                grams,      alpha heat (kW),       beta heat (kW),      gamma heat (kW), cumulative time (secs),       is irradiation
                Ni55,                 Ni55,          655700000.0,            1.761e-14,             1.36e-10,            3.781e-07,            1.068e-07,                 60.0,                    1
                Ni56,                 Ni56,            1122000.0,            7.891e-11,                  0.0,            1.283e-12,            3.092e-10,                 60.0,                    1
                Ni57,                 Ni57,           49740000.0,            8.769e-10,                  0.0,            1.248e-09,            1.547e-08,                 60.0,                    1
                Ni58,                 Ni58,            2.375e-15,             7.28e-09,                  0.0,            7.326e-31,                  0.0,                 60.0,                    1
                Ni59,                 Ni59,                52.26,             1.77e-08,                  0.0,            3.871e-17,             2.13e-17,                 60.0,                    1
                Ni60,                 Ni60,                  0.0,             2.38e-08,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Ni61,                 Ni61,                  0.0,            1.178e-08,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Ni62,                 Ni62,                  0.0,            5.689e-09,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Ni63,                 Ni63,                467.7,            2.238e-10,                  0.0,            1.306e-15,                  0.0,                 60.0,                    1
                Ni64,                 Ni64,                  0.0,            1.927e-11,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Ni65,                 Ni65,             375000.0,            5.292e-13,                  0.0,            3.783e-11,            3.304e-11,                 60.0,                    1
                Ni66,                 Ni66,                671.5,            2.077e-14,                  0.0,            7.019e-15,                  0.0,                 60.0,                    1
                Ni67,                 Ni67,               8258.0,            2.781e-17,                  0.0,            2.015e-12,            6.648e-14,                 60.0,                    1
                Ni68,                 Ni68,                223.6,            1.055e-18,                  0.0,            2.512e-14,            2.512e-14,                 60.0,                    1
                Ni69,                 Ni69,                2.107,            3.967e-21,                  0.0,            3.963e-16,            8.898e-16,                 60.0,                    1
                Cu55,                 Cu55,                771.5,            4.064e-21,             1.86e-14,            2.826e-13,            2.826e-13,                 60.0,                    1
                Cu56,                 Cu56,             907200.0,            1.131e-17,             1.18e-12,            7.397e-10,            7.397e-10,                 60.0,                    1
                Cu57,                 Cu57,          319900000.0,            8.568e-15,             6.46e-11,            1.845e-07,            5.842e-08,                 60.0,                    1
